Серьезность	Код	Описание	Проект	Файл	Строка	Состояние подавления
Ошибка	CS0229	Неоднозначность между "RoleViewModel._path" и "RoleViewModel._path"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	31	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._path" и "RoleViewModel._path"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	48	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._path" и "RoleViewModel._path"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	29	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._path" и "RoleViewModel._path"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	31	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._path" и "RoleViewModel._path"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	48	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._editRole" и "RoleViewModel._editRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	74	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._editRole" и "RoleViewModel._editRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	74	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._editRole" и "RoleViewModel._editRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	74	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._editRole" и "RoleViewModel._editRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	74	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._deleteRole" и "RoleViewModel._deleteRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	93	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._deleteRole" и "RoleViewModel._deleteRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	93	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._deleteRole" и "RoleViewModel._deleteRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	93	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._deleteRole" и "RoleViewModel._deleteRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	93	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._addRole" и "RoleViewModel._addRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	54	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._addRole" и "RoleViewModel._addRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	54	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._addRole" и "RoleViewModel._addRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	54	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel._addRole" и "RoleViewModel._addRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	54	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	66	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	76	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	78	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	79	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	85	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	90	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	95	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	96	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	98	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	99	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	102	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	66	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	76	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	78	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	79	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	85	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	90	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	95	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	96	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	98	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	99	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.SelectedRole" и "RoleViewModel.SelectedRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	102	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.PropertyChanged" и "RoleViewModel.PropertyChanged"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	106	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.PropertyChanged" и "RoleViewModel.PropertyChanged"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	106	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	33	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	38	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	39	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	40	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	47	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	51	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	51	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	65	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	66	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\PersonViewModel.cs	98	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	33	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	38	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	39	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	40	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	47	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	51	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	51	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	65	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	66	Активные
Ошибка	CS0229	Неоднозначность между "RoleViewModel.ListRole" и "RoleViewModel.ListRole"	WpfApp1Demo2018	C:\Users\Student_49_10\source\repos\WpfApp1Demo2018\WpfApp1Demo2018\ViewModel\RoleViewModel.cs	98	Активные
